class,sha,short_title,component,mechanism
Stale continuity anchor and owner mapping,48f083ef1ffb74be867636abd9fc737e5086692b,fix(proxy): recover stale websocket previous response anchors,websocket/continuity,verified full-resend replay must clear stale websocket anchor
Stale continuity anchor and owner mapping,682447f2981f608bd94e19dce3c58a464c564568,fix(proxy): repair interrupted Codex response continuity,proxy/continuity,interrupted tool output and stale bridge anchors broke continuity
Stale continuity anchor and owner mapping,4c04e538b86dfbe4fdd32f3360200d92e93529e3,fix(proxy): clear durable bridge anchor after stuck eventless timeout,http-bridge/continuity,dead durable previous_response_id anchor repeated forever
Stale continuity anchor and owner mapping,b1d27bc62808427b67ffea547a6a89a0d034f26e,fix(proxy): purge stale hard codex_session mappings pinned to a durably unavailable owner,sticky-session/owner-map,hard session map pinned traffic to dead durable owner
Stale continuity anchor and owner mapping,9b40f746262b895c7f2b94d3afc17266f75b76ce,fix(proxy): purge stale durable bridge rows on startup,http-bridge/startup,old process bridge rows resurrected stale owner state
Stale continuity anchor and owner mapping,e6270f3ff6140d1f2c09bbd7820487f398de6fd2,fix(proxy): recover verified responses after owner loss,http-bridge/owner-recovery,cross-account recovery needed durable full-resend proof and fencing
Stale continuity anchor and owner mapping,93ce1299a73dab1d2f5231bf4d39fb99d2c135ff,fix(proxy): classify stale Codex websocket anchors,websocket/continuity,stale websocket anchors needed explicit classification
Cancellation and terminal stream contamination,c9da4974c9b10217e83f7dc0a81f5207337c7c58,fix(proxy): eliminate /v1 responses cancel/retry stream contamination,responses/http-bridge,cancelled bridge stream contaminated later responses stream
Cancellation and terminal stream contamination,1089ab5dae24a507b1c512301180997b37cc280e,fix(proxy): record early downstream cancellations,streaming/cancel,downstream cancellation was not recorded before cleanup
Cancellation and terminal stream contamination,6e8fa56fe07967d74b7e84b7757238425a989e5f,fix(proxy): persist request logs outside cancellation,proxy/cancel,cancellation could interrupt request-log persistence
Cancellation and terminal stream contamination,dcf1ae3675346d75b571a29644c2722f776dc436,fix(proxy): close stream immediately after terminal SSE events,SSE/terminal,terminal SSE did not force immediate stream close
Cancellation and terminal stream contamination,8530f89374e9c648f5fb91deaa9adaf244c3535c,fix(proxy): preserve websocket stream error statuses,websocket/terminal,terminal error status was lost across cleanup
Cancellation and terminal stream contamination,b962b3593167d8d137f13063feaeac77f4744db3,fix(proxy): preserve websocket incomplete reasons,websocket/terminal,incomplete reason changed during retry or teardown
Cancellation and terminal stream contamination,89ffe7d46ca8cc8ec22d0af5902c059781a3c26f,test: deflake anonymous previous_response_not_found inflight websocket close assertion,tests/websocket,close assertion raced inflight websocket cleanup
Cancellation and terminal stream contamination,8188c31110b7e284a97d83777728ed54b7e83593,fix(middleware): handle disconnects and body read failures,middleware/disconnect,body-read failure and disconnect paths needed explicit cleanup
Shutdown drain and background task lifecycle,fc77c7604af6ed4d621fd4e7a8435507e0f3e21e,feat: deterministic failover and soft drain,proxy/drain,drain state introduced deterministic failover and soft exclusion
Shutdown drain and background task lifecycle,a2fca41791bd62862a439b7562b7b69deefa615d,fix(proxy): expose drain status for graceful deploys,proxy/drain,deploys lacked live drain-state visibility
Shutdown drain and background task lifecycle,66b9196d188ef85843b24fa1a26067057c075c83,fix(proxy): drain active WebSocket turns on shutdown,websocket/shutdown,process exit could cut active websocket turns before settlement
Shutdown drain and background task lifecycle,ec36ef60a617684bc78f68b7f462877557fa8e9f,fix(shutdown): drain audit and fleet tasks,shutdown/background-tasks,audit and fleet tasks raced process shutdown
Shutdown drain and background task lifecycle,3bdc9dea0b524ad0e46a89d1afc727712825eb0b,fix(accounts): own DB session in detached token-refresh task,accounts/background-task,detached refresh task shared caller DB session lifetime
Shutdown drain and background task lifecycle,b37b7b3d58c9f4ea20414b8e8a76bd453013cde3,fix(proxy): prevent SQLite FD retention in background refresh tasks,proxy/background-refresh,background refresh task retained SQLite descriptors past maintenance
Cross-replica single-owner coordination,0a7f354d376c0f4c8f93a2902730578e00f889d7,fix(db): serialize startup migrations across replicas,db/migrations,replicas raced Alembic DDL without cross-process lock
Cross-replica single-owner coordination,13d3a3216e4c5afb64ae3e022c849a0ef5592d9b,fix(scheduling): harden scheduler leader election for multi-replica safety,scheduler/leader-election,leader work needed single-winner DB-clock lease
Cross-replica single-owner coordination,b5f0541a8241434f976c70222d63eab4ce9b77b9,fix(accounts): serialize cross-replica token refresh with per-account DB claims,accounts/token-refresh,single-use refresh token exchanged by multiple replicas
Cross-replica single-owner coordination,53f7b4633978f6a8b1085e2a9a5215fa91c7e62b,fix(proxy): fence bridge lease writes evict fenced-out replicas purge orphaned ring state,http-bridge/lease-fencing,stale replica could renew or release newer owner lease
Cross-replica single-owner coordination,01188e7c08f009dfb882ce66a0147b7710e33a63,fix(reset-credits): make redemption replica-safe with durable ledger and claim,reset-credits/claims,credit redemption needed durable claim ledger
Cross-replica single-owner coordination,d4f254434c0a60a78a0a6b0fd987646252708243,feat(proxy): partition account concurrency caps across live replicas,proxy/capacity,per-account caps needed partitioning across replicas
Cross-replica single-owner coordination,991be817c3895840a20a770151eb862822b73f88,fix(balancer): persist rate-limit cooldowns so peer replicas honor them,balancer/rate-limit-state,rate-limit cooldown was local and ignored by peers
Cross-replica single-owner coordination,a8e12f8e34222547a9a0c6e8dc51327a0f7b1f38,fix(quota-planner): atomic warmup budget claims,quota-planner/claims,warmup budget and dedupe claims were check-then-act
Cross-replica single-owner coordination,58c5eaff2d8843745c798b8e3a821f9c3cc62af1,fix(db): release SQLite handles before file mutations,db/sqlite,maintenance needed all local handles closed before file mutation
Cache and quota freshness races,04d8fab891236e4d4b6bb46c5219730acbabd822,fix(usage): coalesce refresh requests,usage/refresh,duplicate refreshes raced and produced stale churn
Cache and quota freshness races,dddd961555727fa529b16750bc65eea49e6bbef8,fix(proxy): decouple usage refresh from request selection,proxy/selection,selection blocked on refresh and consumed stale state
Cache and quota freshness races,3b2fbd526711dee3eb09a60321a8972fe33baefd,fix(proxy): avoid refresh blocking and dedupe stale refreshes,proxy/refresh,stale refreshes blocked current routing decisions
Cache and quota freshness races,7347745ba9f4ddf2eceea992b4e0fd89168fe295,Recover quota-exceeded accounts after early resets and restarts,balancer/quota-state,quota-exceeded state outlived reset evidence
Cache and quota freshness races,a269b3769a6a115921e3d54f9b32b535f9bb2f2b,fix(balancer): trust usage data over stale runtime_reset for early quota resets,balancer/quota-state,stale runtime reset overrode fresher usage data
Cache and quota freshness races,d739ebf142b59a06b013f14cb558f004e207939d,fix(usage): ignore stale usage after account reset,usage/quota-state,old usage sample re-poisoned post-reset state
Cache and quota freshness races,14714750092f2d73158f3ba533c446d20885aa88,fix(proxy): route Spark using fresh per-account quota evidence,proxy/routing,routing used stale broad quota evidence instead of fresh per-account data
Cache and quota freshness races,edc486ab2b6b4cf1938eb0dba5f176c86df9eaa6,fix(proxy): retry stale per-account model rejections,proxy/model-routing,stale per-account rejection pinned a bad route
Cache and quota freshness races,b7bf87cf212db78d07e67dca3e43f2af3170b584,fix(caching): extend cross-replica cache invalidation bus to routing selection and settings caches,caching/invalidation,peer routing changes did not invalidate local snapshots
Admission gate and lock contention,7e5df8799598d4ef22efc1ff87ac40aaf258725d,fix(round-robin): harden runtime locking and per-app balancer state,balancer/locking,round-robin runtime mutated outside serialized per-app lock
Admission gate and lock contention,2b0d2fc13f51db399109cc6cef508b5611486150,refactor(proxy): reduce bridge and balancer lock contention,proxy/locks,bridge and balancer locks caused races and contention in shared paths
Admission gate and lock contention,87fae4301583799b1ee72b46f312a2aec95ee8bb,fix(proxy): queue bridged requests through response-create gate contention,http-bridge/gate,gate contention reused too-short admission timeout and lost waiters
Admission gate and lock contention,689c6d83ae2a166b98cde64ad134e829f179126a,fix(proxy): wait on local account cap pressure,proxy/admission,local account cap pressure rejected instead of waiting safely
Admission gate and lock contention,03b777813a03be11f1a0290e4230fbbaf35534f2,fix(proxy): preserve admitted bridge waiters on upstream close,http-bridge/admission,upstream close dropped admitted waiters
Admission gate and lock contention,fb5a573ccad0cd364a53e2c5c6ef52558a618d45,fix(proxy): recover stale response-create gates,http-bridge/gate,precreated response-create gates retired without replacement
Admission gate and lock contention,8d6d7c0c358fdc4b2a7cc83d94c3f2f7f413fbdf,fix: replace reject-fast admission with wait-then-reject and tune HA defaults,proxy/admission,reject-fast policy turned transient contention into failure
Admission gate and lock contention,e5efbefe0e77ed0fd95cbdb50d8609102082e7c9,test(proxy): stabilize HTTP bridge singleflight tests,tests/http-bridge,singleflight test exposed nondeterministic admission sharing
